author,href,mark,rating_nums,title
路遥 ,https://book.douban.com/subject/3803820/,如果你是高加林，你要如何选择？,8.4,人生
[意大利]伊塔洛·卡尔维诺 ,https://book.douban.com/subject/1863930/,每一座城市都只在想象中耸立，又在描述中坍圮,8.8,看不见的城市
[美] 乔治·R. R. 马丁 ,https://book.douban.com/subject/1336330/,凛冬将至。无比宏大的世界观,9.3,冰与火之歌（卷一）
九把刀 ,https://book.douban.com/subject/1958227/,那些年错过的大雨,8.2,那些年，我们一起追的女孩
[美] 彼得·海斯勒 ,https://book.douban.com/subject/7060185/,外国人的寻路中国,9.0,江城
[奥] 卡夫卡 ,https://book.douban.com/subject/1213546/,格里高里清早醒来发现自己变成了甲虫,8.4,变形记
李笑来 ,https://book.douban.com/subject/3609132/,反成功学的成功学,8.4,把时间当作朋友
hans ,https://book.douban.com/subject/3554154/,治愈,9.0,阿狸·梦之城堡
[美] 丹.布朗 ,https://book.douban.com/subject/1228110/,科学与宗教的大乱斗,8.1,天使与魔鬼
沧月 ,https://book.douban.com/subject/1919201/,抵不过时间,8.4,七夜雪
[日] 乙一 ,https://book.douban.com/subject/2297697/,噩梦中的一丝温度,8.6,ZOO
[美] 戴尔·卡耐基 ,https://book.douban.com/subject/1056295/,西方世界最持久的人文畅销书,8.2,人性的弱点全集
章诒和 ,https://book.douban.com/subject/1059336/,知识分子的命运浮沉,8.6,往事并不如烟
[日] 村上春树 ,https://book.douban.com/subject/1015452/,灾星下出生的恋人们,8.3,国境以南 太阳以西
[以色列] 尤瓦尔·赫拉利 ,https://book.douban.com/subject/26943161/,人类面临的新议题,8.4,未来简史
安妮宝贝 ,https://book.douban.com/subject/1063190/,你们不会彼此遗忘。只会彼此消失,8.0,蔷薇岛屿
刘震云 ,https://book.douban.com/subject/3633461/,一句胜过千年,8.7,一句顶一万句
[法] 莫泊桑 ,https://book.douban.com/subject/1258498/,None,8.3,项链
林语堂 ,https://book.douban.com/subject/1391191/,林语堂的《红楼梦》,8.5,京华烟云
[日] 村上春树 ,https://book.douban.com/subject/25733470/,并不是一切都消失在了时间的长河里,8.2,没有色彩的多崎作和他的巡礼之年
[日]芥川龙之介 ,https://book.douban.com/subject/3136271/,None,8.7,罗生门
木心 讲述 ,https://book.douban.com/subject/20440644/,木心留给世界的礼物,9.2,文学回忆录（全2册）
[德] 埃·奥·卜劳恩 绘 ,https://book.douban.com/subject/1002898/,None,9.2,父与子全集
[英] 伊恩·麦克尤恩 ,https://book.douban.com/subject/4011440/,别被封面骗了,8.0,最初的爱情 最后的仪式
[英] 阿加莎·克里斯蒂 ,https://book.douban.com/subject/1818347/,阿婆代表作之一,8.7,尼罗河上的惨案
纳训 ,https://book.douban.com/subject/1035848/,None,8.6,一千零一夜
王国维 ,https://book.douban.com/subject/1203426/,None,9.0,人间词话
[捷克] 米兰·昆德拉 ,https://book.douban.com/subject/1013225/,此处的生活唯有残酷,8.4,生活在别处
吴晓波 ,https://book.douban.com/subject/1970428/,这是一个最好的时代，也是一个最坏的时代,8.8,激荡三十年（上）
